
optim:adam r:4.0 lamb:0.01, d:100, temp:2.0, lr:0.0001, N_1:30, N_2:30

optim:adam r:4.0 lamb:0.01, d:100, temp:2.0, lr:0.0001, N_1:30, N_2:30

optim:adam r:4.0 lamb:0.01, d:100, temp:2.0, lr:0.0001, N_1:30, N_2:30

optim:adam r:4.0 lamb:0.01, d:100, temp:2.0, lr:0.0001, N_1:30, N_2:30
49	1.64	0.1620 8.4 0.0000 0.1000 0.6000	0.1620 8.4 0.0000 0.1000 0.6000
99	2.03	0.1587 8.7 0.0000 0.1000 0.6000	0.1587 8.7 0.0000 0.1000 0.6000

optim:adam r:4.0 lamb:0.01, d:100, temp:2.0, lr:0.0001, N_1:30, N_2:30
49	1.67	0.1806 8.3 0.0000 0.2000 0.6000	0.1806 8.3 0.0000 0.2000 0.6000
99	2.06	0.1800 8.4 0.0000 0.2000 0.6000	0.1800 8.4 0.0000 0.2000 0.6000

optim:adam r:4.0 lamb:0.01, d:100, temp:2.0, lr:0.0001, N_1:30, N_2:30
49	1.69	0.1898 8.1 0.0000 0.2000 0.7000	0.1898 8.1 0.0000 0.2000 0.7000
99	2.09	0.2032 7.9 0.0000 0.3000 0.7000	0.2032 7.9 0.0000 0.3000 0.7000

optim:adam r:4.0 lamb:0.01, d:100, temp:2.0, lr:0.0001, N_1:30, N_2:30
49	1.73	0.2202 5.9 0.0000 0.2000 0.9000	0.2202 5.9 0.0000 0.2000 0.9000
99	2.14	0.2216 5.8 0.0000 0.2000 0.9000	0.2216 5.8 0.0000 0.2000 0.9000
149	2.56	0.2158 6.0 0.0000 0.2000 0.9000	0.2158 6.0 0.0000 0.2000 0.9000
199	2.95	0.2152 6.0 0.0000 0.2000 0.9000	0.2152 6.0 0.0000 0.2000 0.9000
249	3.34	0.2198 6.0 0.0000 0.2000 0.9000	0.2198 6.0 0.0000 0.2000 0.9000
299	3.72	0.2131 5.9 0.0000 0.2000 0.9000	0.2131 5.9 0.0000 0.2000 0.9000
